genome	plotting_name
Chl_phaeoferrooxidans__WP_076793039.1	Chl. phaeoferrooxidans KB01 (WP_076793039.1)
Chl_ferrooxidans__WP_006367389.1	Chl. ferrooxidans KoFox (WP_006367389.1)
L227_enr_6D__HPPIFCBA_00311	L227 enrichment S-6D
L227_2014_Bin92a__CA-L227-2014_163910	L227 2014 bin 92
Chl_sp_N1__WP_131353791.1	Chlorobium sp. N1 (WP_131353791.1)
Chl_luteolum__WP_081423692.1	Chl. luteolum DSM 273 (WP_081423692.1)
Ca_Chl_canadense_L304_6D__PLDLAPEK_01772	Ca. Chl. canadense L304-6D
L227_2013_Bin56__CBIDHOKM_00215	L227 2013 bin 56
