"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
1	"A1"	0.0406	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"A2"	0.0428	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B1"	0.0644	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B2"	0.0654	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"C1"	0.1028	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"C2"	0.1047	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"D1"	0.1389	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"D2"	0.1395	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"E1"	0.1752	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"E2"	0.1776	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"F1"	0.2498	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"F2"	0.2515	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"G1"	0.0256	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
1	"G2"	0.0292	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
1	"H1"	0.0292	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
1	"H2"	0.0275	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
1	"A3"	0.0872	"t3_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A4"	0.0889	"t3_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B3"	0.1026	"t3_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B4"	0.102	"t3_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C3"	0.0662	"t3_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C4"	0.0684	"t3_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D3"	0.0703	"t3_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D4"	0.0687	"t3_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E3"	0.0681	"t3_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E4"	0.0604	"t3_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F3"	0.0643	"t3_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F4"	0.0641	"t3_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G3"	0.0969	"t3_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G4"	0.0988	"t3_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"H3"	0.0881	"t3_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"H4"	0.0924	"t3_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A5"	0.0702	"t3_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A6"	0.0694	"t3_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B5"	0.0692	"t3_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B6"	0.0682	"t3_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C5"	0.0534	"t3_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C6"	0.0517	"t3_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D5"	0.0649	"t3_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D6"	0.0634	"t3_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E5"	0.0731	"t3_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E6"	0.0703	"t3_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F5"	0.0717	"t3_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F6"	0.0711	"t3_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G5"	0.0643	"t3_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G6"	0.0636	"t3_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
