"Plate_number"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_group"	"Ave_abs_blanked"	"StdDev_abs_blanked"	"Ave_concentration"	"StdDev_concentration"	"Concentration_units"
2	"t0_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0822	0.00721248916810278	118.80876280582	10.4246583310544	"uM"
2	"t0_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0791	0.00261629509039022	114.328140364238	3.78149370832365	"uM"
2	"t0_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0482	0.000707106781186548	69.6664521562109	1.02202532657396	"uM"
2	"t0_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0759	0.000494974746830588	109.702981714863	0.715417728601778	"uM"
2	"t0_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.04745	0.000919238815542509	68.5824305977636	1.32863292454614	"uM"
2	"t0_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07835	0.000282842712474617	113.244118805791	0.408810130629581	"uM"
2	"t0_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0827	0.00565685424949239	119.531443844785	8.17620261259169	"uM"
2	"t0_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0907	0.00148492424049175	131.094340468223	2.14625318580532	"uM"
2	"t0_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.04235	0.00205060966544099	61.2110840003222	2.96387344706448	"uM"
2	"t0_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0701	0.000212132034355961	101.319881662871	0.306607597972183	"uM"
2	"t0_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.04825	0.00106066017177982	69.7387202601074	1.53303798986094	"uM"
2	"t0_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.08095	0.000424264068711931	117.002060208408	0.613215195944379	"uM"
2	"t0_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.04185	0.000777817459305205	60.4884029613574	1.12422785923136	"uM"
2	"t0_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0718	7.07106781186568e-05	103.776997195351	0.102202532657399	"uM"
2	"t0_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0453	0.000141421356237314	65.4749021302148	0.204405065314798	"uM"
2	"t0_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0694	0.003889087296526	100.30812820832	5.62113929615677	"uM"
2	"t0_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.08025	0.00176776695296635	115.990306753857	2.55506331643487	"uM"
2	"t0_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0775	0.000636396103067891	112.015561039551	0.919822793916562	"uM"
2	"t0_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.07385	0.00148492424049174	106.739989455107	2.14625318580531	"uM"
2	"t0_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0783	0.00176776695296637	113.171850701894	2.5550633164349	"uM"
2	"t0_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.04745	0.00162634559672906	68.5824305977636	2.3506582511201	"uM"
2	"t0_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0798	0.000212132034355961	115.339893818789	0.306607597972183	"uM"
3	"t1_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.06695	0.000494974746830588	96.7669911173925	0.715417728601778	"uM"
3	"t1_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07405	0.000777817459305195	107.029061870693	1.12422785923135	"uM"
3	"t1_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.04655	0.00247487373415292	67.2816047276269	3.57708864300886	"uM"
3	"t1_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07145	0.00106066017177982	103.271120468076	1.53303798986094	"uM"
3	"t1_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0356	0.000565685424949244	51.4548899742968	0.817620261259177	"uM"
3	"t1_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.06615	0.00120208152801714	95.6107014550487	1.73744305517574	"uM"
3	"t1_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0434	0.00113137084989848	62.7287141821484	1.63524052251834	"uM"
3	"t1_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07735	0.000919238815542509	111.798756727861	1.32863292454614	"uM"
3	"t1_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.06835	0.00106066017177982	98.790498026494	1.53303798986094	"uM"
3	"t1_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0829	0.000565685424949235	119.820516260371	0.817620261259163	"uM"
3	"t1_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.07235	0.00162634559672906	104.571946338213	2.3506582511201	"uM"
3	"t1_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0825	0.000282842712474627	119.242371429199	0.408810130629596	"uM"
3	"t1_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0465	0.000565685424949235	67.2093366237304	0.817620261259163	"uM"
3	"t1_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0762	0.00183847763108502	110.136590338242	2.65726584909229	"uM"
3	"t1_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0488	0.000707106781186548	70.5336694029687	1.02202532657396	"uM"
3	"t1_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0767	NA	110.859271377207	NA	"uM"
3	"t1_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0825	0.000848528137423852	119.242371429199	1.22643039188874	"uM"
3	"t1_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.08815	7.07106781186568e-05	127.408667169502	0.102202532657399	"uM"
3	"t1_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.04145	0.000777817459305205	59.9102581301855	1.12422785923136	"uM"
3	"t1_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07035	0.000919238815542518	101.681222182353	1.32863292454616	"uM"
3	"t1_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0496	0.00141421356237309	71.6899590653124	2.04405065314791	"uM"
3	"t1_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.08025	0.00190918830920368	115.990306753857	2.7594683817497	"uM"
3	"t1_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0442	0.000424264068711931	63.8850038444921	0.613215195944379	"uM"
3	"t1_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0738	0.00127279220613578	106.667721351211	1.83964558783312	"uM"
3	"t1_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.04705	0.000919238815542509	68.0042857665917	1.32863292454614	"uM"
3	"t1_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0753	0.000282842712474617	108.835764468105	0.408810130629581	"uM"
3	"t1_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.07775	0.00261629509039023	112.376901559033	3.78149370832366	"uM"
3	"t1_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0823	0.000848528137423852	118.953299013613	1.22643039188874	"uM"
3	"t1_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.06995	0.00403050865276333	101.103077351182	5.82554436147158	"uM"
