"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
1	"B10"	0.117	"tU_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"C9"	0.0999	"tU_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"C10"	0.0997	"tU_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"D9"	0.1101	"tU_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"D10"	0.1093	"tU_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"E9"	0.0985	"tU_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"E10"	0.0966	"tU_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"F9"	0.1035	"tU_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"F10"	0.1029	"tU_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"G9"	0.1099	"tU_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"G10"	0.1104	"tU_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"H9"	0.1045	"tU_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"H10"	0.1063	"tU_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"A11"	0.1057	"tU_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"A12"	0.1091	"tU_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"B11"	0.0994	"tU_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"B12"	0.1003	"tU_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"C11"	0.0917	"tU_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"C12"	0.0942	"tU_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"D11"	0.1066	"tU_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"D12"	0.1082	"tU_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"E11"	0.1034	"tU_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"E12"	0.1055	"tU_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"F11"	0.1084	"tU_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"F12"	0.1091	"tU_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"G11"	0.1015	"tU_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"G12"	0.1041	"tU_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"H11"	0.1049	"tU_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"H12"	0.1059	"tU_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"A1"	0.0259	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
2	"A2"	0.0277	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
2	"B1"	0.0308	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"B2"	0.0312	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"C1"	0.031	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"C2"	0.0309	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"D1"	0.0306	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"D2"	0.031	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"E1"	0.0308	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"E2"	0.0313	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"F1"	0.0314	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"F2"	0.0308	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"G1"	0.0308	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"G2"	0.0312	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"H1"	0.0307	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"H2"	0.0307	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"A3"	0.0944	"t0_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"A4"	0.0986	"t0_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"B3"	0.1135	"t0_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"B4"	0.1055	"t0_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"C3"	0.0677	"t0_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"C4"	0.0706	"t0_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"D3"	0.0758	"t0_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"D4"	0.0743	"t0_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"E3"	0.0692	"t0_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"E4"	0.0681	"t0_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"F3"	0.072	"t0_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"F4"	0.0722	"t0_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"G3"	0.1058	"t0_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"G4"	0.1083	"t0_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"H3"	0.0996	"t0_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"H4"	0.1017	"t0_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"A5"	0.0731	"t0_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"A6"	0.0754	"t0_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"B5"	0.069	"t0_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"B6"	0.07	"t0_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"C5"	0.065	"t0_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"C6"	0.0651	"t0_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"D5"	0.069	"t0_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"D6"	0.0712	"t0_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"E5"	0.1009	"t0_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"E6"	0.0995	"t0_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"F5"	0.1039	"t0_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"F6"	0.1141	"t0_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"G5"	0.0745	"t0_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"G6"	0.0755	"t0_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"H5"	0.0736	"t0_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"H6"	0.0749	"t0_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"A7"	0.0291	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
2	"A8"	0.0268	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
2	"B7"	0.031	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"B8"	0.0306	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"C7"	0.0308	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"C8"	0.0309	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"D7"	0.0308	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"D8"	0.0308	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"E7"	0.0307	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"E8"	0.0308	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"F7"	0.0309	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"F8"	0.0311	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"G7"	0.0308	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"G8"	0.0314	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"H7"	0.0309	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"H8"	0.0308	""	NA	""	"FeTot"	"FeTot"	NA	NA
2	"A9"	0.1004	"t0_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"A10"	0.1042	"t0_1"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"B9"	0.1176	"t0_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"B10"	0.1197	"t0_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"C9"	0.0982	"t0_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"C10"	0.0979	"t0_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"D9"	0.1092	"t0_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"D10"	0.1086	"t0_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"E9"	0.0998	"t0_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"E10"	0.0997	"t0_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"F9"	0.1001	"t0_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"F10"	0.0946	"t0_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"G9"	0.105	"t0_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"G10"	0.1059	"t0_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"H9"	0.105	"t0_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"H10"	0.1075	"t0_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"A11"	0.1076	"t0_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"A12"	0.1079	"t0_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"B11"	0.101	"t0_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"B12"	0.0966	"t0_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"C11"	0.0938	"t0_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"C12"	0.0945	"t0_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"D11"	0.1075	"t0_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"D12"	0.1048	"t0_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"E11"	0.1064	"t0_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"E12"	0.1102	"t0_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"F11"	0.1089	"t0_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
