domain	phylum	class	order	family	genus	plotting_name	type	cyc2	dsrA	bchL
Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	L227 enrichment S-6D GSB (99.45/0.27/100); f__Chlorobiaceae; g__Chlorobium	b_genome	1	1	4
Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	L304 enrichment S-6D GSB (99.45/0/0); f__Chlorobiaceae; g__Chlorobium	b_genome	1	1	3
Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	L442 2011 16.5m Bin 8 (89.08/3.32/23.08); f__Chlorobiaceae; g__Chlorobium	b_genome	NA	1	2
Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	L442 Bin 64 (90.11/0/0); f__Chlorobiaceae; g__Chlorobium	b_genome	NA	1	3
Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	L442 Bin 74 (91.76/4.12/25); f__Chlorobiaceae; g__Chlorobium	b_genome	NA	NA	3
Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	Oscillochloris	L442 Bin 82 (92.92/1.24/0); f__Chloroflexaceae; g__Oscillochloris	b_genome	NA	NA	1
Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfatirhabdiaceae	RAAP-1	L227 2014 6m Bin 6 (93.23/0.65/0); f__Desulfatirhabdiaceae; g__RAAP-1	b_genome	NA	1	1
Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Unresolved	L227 2014 Bin 24 (93.51/0.65/0); f__Smithellaceae; g__Unresolved	b_genome	NA	1	NA
Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	Unresolved	L227 2013 Bin 13 (97.14/1.32/0); f__Azospirillaceae; g__Unresolved	b_genome	NA	NA	1
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Rhodoferax	L442 Bin 2 (85.93/0/0); f__Burkholderiaceae; g__Rhodoferax	b_genome	2	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Rhodoferax	L442 Bin 63 (78.47/4.12/54.17); f__Burkholderiaceae; g__Rhodoferax	b_genome	NA	1	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Gallionellaceae	Gallionella	L442 Bin 70 (93.81/0.56/0); f__Gallionellaceae; g__Gallionella	b_genome	1	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Sulfuritalea	L442 2011 16.5m Bin 6 (94.2/1.64/0); f__Rhodocyclaceae; g__Sulfuritalea	b_genome	NA	1	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	KS41	L227 2013 8m Bin 1 (95.74/1.61/25); f__Methylomonadaceae; g__KS41	b_genome	1	NA	1
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	KS41	L442 2011 16.5m Bin 5 (89.62/1.3/25); f__Methylomonadaceae; g__KS41	b_genome	1	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	UBA10906	L227 2014 6m Bin 13 (93.71/1.1/20); f__Methylomonadaceae; g__UBA10906	b_genome	1	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	UBA10906	L442 2011 16.5m Bin 7 (87.04/2.88/50); f__Methylomonadaceae; g__UBA10906	b_genome	1	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	UBA10906	L442 Bin 71 (81.11/5.32/51.35); f__Methylomonadaceae; g__UBA10906	b_genome	1	NA	1
Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Unresolved	L442 Bin 75 (94.44/3.33/0); f__Steroidobacteraceae; g__Unresolved	b_genome	1	NA	NA
Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Unresolved	L442 Bin 84 (95.04/3.27/6.67); f__Steroidobacteraceae; g__Unresolved	b_genome	2	NA	NA
Bacteria	Verrucomicrobiota	Kiritimatiellae	RFP12	Unresolved	Unresolved	L442 2014 15m Bin 9 (78.56/22.12/0); f__Unresolved; g__Unresolved	b_genome	NA	NA	1
