"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
1	"C9"	0.0959	"t8_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"C10"	0.0965	"t8_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"D9"	0.1079	"t8_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"D10"	0.1075	"t8_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"E9"	0.0984	"t8_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"E10"	0.0987	"t8_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"F9"	0.1024	"t8_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"F10"	0.1037	"t8_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"G9"	0.1015	"t8_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"G10"	0.1001	"t8_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"H9"	0.0957	"t8_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"H10"	0.0958	"t8_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"A11"	0.1047	"t8_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"A12"	0.1076	"t8_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"B11"	0.1004	"t8_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"B12"	0.1	"t8_10"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"C11"	0.0913	"t8_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"C12"	0.0939	"t8_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"D11"	0.1055	"t8_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"D12"	0.1045	"t8_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"E11"	0.0956	"t8_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"E12"	0.098	"t8_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"F11"	0.0998	"t8_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"F12"	0.1006	"t8_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"G11"	0.1024	"t8_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"G12"	0.1038	"t8_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"H11"	0.1058	"t8_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
1	"H12"	0.1065	"t8_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	NA
2	"A1"	0.0263	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
2	"A2"	0.028	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
2	"B1"	0.0532	"t8_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"B2"	0.0548	"t8_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"C1"	0.0251	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"C2"	0.027	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"D1"	0.0254	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"D2"	0.0246	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"E1"	0.0251	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"E2"	0.0264	""	NA	""	"Fe2"	"Fe2"	NA	NA
2	"F1"	0.518	"FeCl2_2k"	1	"Unknown"	"Fe2"	"Fe2"	2181.8	NA
2	"F2"	0.5048	"FeCl2_2k"	1	"Unknown"	"Fe2"	"Fe2"	2181.8	NA
2	"G1"	0.2243	"FeCl2_5k"	1	"Unknown"	"Fe2"	"Fe2"	5454.5	NA
2	"G2"	0.2296	"FeCl2_5k"	1	"Unknown"	"Fe2"	"Fe2"	5454.5	NA
2	"H1"	0.1304	"FeCl2_10k"	1	"Unknown"	"Fe2"	"Fe2"	10909.1	NA
2	"H2"	0.1287	"FeCl2_10k"	1	"Unknown"	"Fe2"	"Fe2"	10909.1	NA
2	"A3"	0.0445	"t9_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"A4"	0.0468	"t9_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"B3"	0.0571	"t9_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"B4"	0.0558	"t9_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"C3"	0.074	"t9_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"C4"	0.0768	"t9_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"D3"	0.0774	"t9_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"D4"	0.0777	"t9_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"E3"	0.0559	"t9_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"E4"	0.0577	"t9_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"F3"	0.0579	"t9_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"F4"	0.06	"t9_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"G3"	0.0581	"t9_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"G4"	0.0608	"t9_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"H3"	0.057	"t9_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"H4"	0.0566	"t9_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"A5"	0.0956	"t9_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"A6"	0.08	"t9_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"B5"	0.0744	"t9_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
2	"B6"	0.073	"t9_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
