Plate_number	Well	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_conc
2	F1	FeCl2_2k	1	Unknown	Fe2	Fe2	2181.8	NA
2	F2	FeCl2_2k	1	Unknown	Fe2	Fe2	2181.8	NA
2	G1	FeCl2_5k	1	Unknown	Fe2	Fe2	5454.5	NA
2	G2	FeCl2_5k	1	Unknown	Fe2	Fe2	5454.5	NA
2	H1	FeCl2_10k	1	Unknown	Fe2	Fe2	10909.1	NA
2	H2	FeCl2_10k	1	Unknown	Fe2	Fe2	10909.1	NA
2	A3	t9_1	1	Unknown	Fe2	Fe2	1.09	NA
2	A4	t9_1	1	Unknown	Fe2	Fe2	1.09	NA
2	B3	t9_2	1	Unknown	Fe2	Fe2	1.09	NA
2	B4	t9_2	1	Unknown	Fe2	Fe2	1.09	NA
2	C3	t9_3	1	Unknown	Fe2	Fe2	1.09	NA
2	C4	t9_3	1	Unknown	Fe2	Fe2	1.09	NA
2	D3	t9_4	1	Unknown	Fe2	Fe2	1.09	NA
2	D4	t9_4	1	Unknown	Fe2	Fe2	1.09	NA
2	E3	t9_5	1	Unknown	Fe2	Fe2	1.09	NA
2	E4	t9_5	1	Unknown	Fe2	Fe2	1.09	NA
2	F3	t9_6	1	Unknown	Fe2	Fe2	1.09	NA
2	F4	t9_6	1	Unknown	Fe2	Fe2	1.09	NA
2	G3	t9_7	1	Unknown	Fe2	Fe2	1.09	NA
2	G4	t9_7	1	Unknown	Fe2	Fe2	1.09	NA
2	H3	t9_8	1	Unknown	Fe2	Fe2	1.09	NA
2	H4	t9_8	1	Unknown	Fe2	Fe2	1.09	NA
2	A5	t9_9	1	Unknown	Fe2	Fe2	1.09	NA
2	A6	t9_9	1	Unknown	Fe2	Fe2	1.09	NA
2	B5	t9_10	1	Unknown	Fe2	Fe2	1.09	NA
2	B6	t9_10	1	Unknown	Fe2	Fe2	1.09	NA
2	C5	t9_11	1	Unknown	Fe2	Fe2	1.09	NA
2	C6	t9_11	1	Unknown	Fe2	Fe2	1.09	NA
2	D5	t9_12	1	Unknown	Fe2	Fe2	1.09	NA
2	D6	t9_12	1	Unknown	Fe2	Fe2	1.09	NA
2	E5	t9_13	1	Unknown	Fe2	Fe2	1.09	NA
2	E6	t9_13	1	Unknown	Fe2	Fe2	1.09	NA
2	F5	t9_14	1	Unknown	Fe2	Fe2	1.09	NA
2	F6	t9_14	1	Unknown	Fe2	Fe2	1.09	NA
2	G5	t9_15	1	Unknown	Fe2	Fe2	1.09	NA
2	G6	t9_15	1	Unknown	Fe2	Fe2	1.09	NA
2	H5	t9_16	1	Unknown	Fe2	Fe2	1.09	NA
2	H6	t9_16	1	Unknown	Fe2	Fe2	1.09	NA
2	A7	Blank	1	Blank	FeTot	FeTot	1	NA
2	A8	Blank	1	Blank	FeTot	FeTot	1	NA
2	B7	t8_1	1	Unknown	FeTot	FeTot	1.09	NA
2	B8	t8_1	1	Unknown	FeTot	FeTot	1.09	NA
2	C7				FeTot	FeTot		
2	C8				FeTot	FeTot		
2	D7				FeTot	FeTot		
2	D8				FeTot	FeTot		
2	E7				FeTot	FeTot		
2	E8				FeTot	FeTot		
2	F7	FeCl2_2k	1	Unknown	FeTot	FeTot	2181.8	NA
2	F8	FeCl2_2k	1	Unknown	FeTot	FeTot	2181.8	NA
2	G7	FeCl2_5k	1	Unknown	FeTot	FeTot	5454.5	NA
2	G8	FeCl2_5k	1	Unknown	FeTot	FeTot	5454.5	NA
2	H7	FeCl2_10k	1	Unknown	FeTot	FeTot	10909.1	NA
2	H8	FeCl2_10k	1	Unknown	FeTot	FeTot	10909.1	NA
2	A9	t9_1	1	Unknown	FeTot	FeTot	1.09	NA
2	A10	t9_1	1	Unknown	FeTot	FeTot	1.09	NA
2	B9	t9_2	1	Unknown	FeTot	FeTot	1.09	NA
2	B10	t9_2	1	Unknown	FeTot	FeTot	1.09	NA
2	C9	t9_3	1	Unknown	FeTot	FeTot	1.09	NA
2	C10	t9_3	1	Unknown	FeTot	FeTot	1.09	NA
2	D9	t9_4	1	Unknown	FeTot	FeTot	1.09	NA
2	D10	t9_4	1	Unknown	FeTot	FeTot	1.09	NA
2	E9	t9_5	1	Unknown	FeTot	FeTot	1.09	NA
2	E10	t9_5	1	Unknown	FeTot	FeTot	1.09	NA
2	F9	t9_6	1	Unknown	FeTot	FeTot	1.09	NA
2	F10	t9_6	1	Unknown	FeTot	FeTot	1.09	NA
2	G9	t9_7	1	Unknown	FeTot	FeTot	1.09	NA
2	G10	t9_7	1	Unknown	FeTot	FeTot	1.09	NA
2	H9	t9_8	1	Unknown	FeTot	FeTot	1.09	NA
2	H10	t9_8	1	Unknown	FeTot	FeTot	1.09	NA
2	A11	t9_9	1	Unknown	FeTot	FeTot	1.09	NA
2	A12	t9_9	1	Unknown	FeTot	FeTot	1.09	NA
