Plate_number	Well	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_conc	Standard_group
1	B12	t3_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	C11	t3_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	C12	t3_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	D11	t3_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	D12	t3_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	E11	t3_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	E12	t3_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	F11	t3_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	F12	t3_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	G11	t3_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	G12	t3_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	H11	t3_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
1	H12	t3_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	A1	Blank	1	Blank	Fe2	Fe2	1.09	NA	Fe2
2	A2	Blank	1	Blank	Fe2	Fe2	1.09	NA	Fe2
2	B1				Fe2	Fe2		NA	Fe2
2	B2				Fe2	Fe2		NA	Fe2
2	C1				Fe2	Fe2		NA	Fe2
2	C2				Fe2	Fe2		NA	Fe2
2	D1				Fe2	Fe2		NA	Fe2
2	D2				Fe2	Fe2		NA	Fe2
2	E1				Fe2	Fe2		NA	Fe2
2	E2				Fe2	Fe2		NA	Fe2
2	F1	FeCl2_2k	1	Unknown	Fe2	Fe2	2181.8	NA	Fe2
2	F2	FeCl2_2k	1	Unknown	Fe2	Fe2	2181.8	NA	Fe2
2	G1	FeCl2_5k	1	Unknown	Fe2	Fe2	5454.5	NA	Fe2
2	G2	FeCl2_5k	1	Unknown	Fe2	Fe2	5454.5	NA	Fe2
2	H1	FeCl2_10k	1	Unknown	Fe2	Fe2	10909.1	NA	Fe2
2	H2	FeCl2_10k	1	Unknown	Fe2	Fe2	10909.1	NA	Fe2
2	A3	t4_1	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	A4	t4_1	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	B3	t4_2	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	B4	t4_2	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	C3	t4_3	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	C4	t4_3	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	D3	t4_4	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	D4	t4_4	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	E3	t4_5	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	E4	t4_5	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	F3	t4_6	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	F4	t4_6	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	G3	t4_7	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	G4	t4_7	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	H3	t4_8	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	H4	t4_8	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	A5	t4_9	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	A6	t4_9	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	B5	t4_10	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	B6	t4_10	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	C5	t4_11	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	C6	t4_11	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	D5	t4_12	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	D6	t4_12	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	E5	t4_13	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	E6	t4_13	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	F5	t4_14	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	F6	t4_14	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	G5	t4_15	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	G6	t4_15	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	H5	t4_16	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	H6	t4_16	1	Unknown	Fe2	Fe2	1.09	NA	Fe2
2	A7	Blank	1	Blank	FeTot	FeTot	1.09	NA	FeTot
2	A8	Blank	1	Blank	FeTot	FeTot	1.09	NA	FeTot
2	B7				FeTot	FeTot			FeTot
2	B8				FeTot	FeTot			FeTot
2	C7				FeTot	FeTot			FeTot
2	C8				FeTot	FeTot			FeTot
2	D7				FeTot	FeTot			FeTot
2	D8				FeTot	FeTot			FeTot
2	E7				FeTot	FeTot			FeTot
2	E8				FeTot	FeTot			FeTot
2	F7	FeCl2_2k	1	Unknown	FeTot	FeTot	2181.8	NA	FeTot
2	F8	FeCl2_2k	1	Unknown	FeTot	FeTot	2181.8	NA	FeTot
2	G7	FeCl2_5k	1	Unknown	FeTot	FeTot	5454.5	NA	FeTot
2	G8	FeCl2_5k	1	Unknown	FeTot	FeTot	5454.5	NA	FeTot
2	H7	FeCl2_10k	1	Unknown	FeTot	FeTot	10909.1	NA	FeTot
2	H8	FeCl2_10k	1	Unknown	FeTot	FeTot	10909.1	NA	FeTot
2	A9	t4_1	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	A10	t4_1	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	B9	t4_2	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	B10	t4_2	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	C9	t4_3	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	C10	t4_3	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	D9	t4_4	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	D10	t4_4	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	E9	t4_5	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	E10	t4_5	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	F9	t4_6	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	F10	t4_6	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	G9	t4_7	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	G10	t4_7	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	H9	t4_8	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	H10	t4_8	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	A11	t4_9	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	A12	t4_9	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	B11	t4_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	B12	t4_10	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	C11	t4_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	C12	t4_11	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	D11	t4_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	D12	t4_12	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	E11	t4_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	E12	t4_13	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	F11	t4_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	F12	t4_14	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	G11	t4_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	G12	t4_15	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	H11	t4_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
2	H12	t4_16	1	Unknown	FeTot	FeTot	1.09	NA	FeTot
