name	assembly_accession	base_URL
L227_2013_bin_22	GCA_005843825.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/843/825/GCA_005843825.1_ASM584382v1
L227_2013_bin_55	GCA_005843805.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/843/805/GCA_005843805.1_ASM584380v1
L227_2013_bin_56	GCA_005843835.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/843/835/GCA_005843835.1_ASM584383v1
L442_bin_64	GCA_005843815.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/843/815/GCA_005843815.1_ASM584381v1
L227_enrichment_S_6D		
L304_enrichment_S_6D		
