"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
1	"A1"	0.0397	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"A2"	0.0414	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B1"	0.0615	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B2"	0.062	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"C1"	0.0992	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"C2"	0.1011	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"D1"	0.1353	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"D2"	0.1368	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"E1"	0.1718	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"E2"	0.1738	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"F1"	0.2457	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"F2"	0.2443	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"G1"	0.0258	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
1	"G2"	0.0278	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
1	"H1"	0.0254	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
1	"H2"	0.0252	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
1	"A3"	0.0605	"t7_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A4"	0.0606	"t7_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B3"	0.0736	"t7_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B4"	0.0728	"t7_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C3"	0.0702	"t7_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C4"	0.071	"t7_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D3"	0.0798	"t7_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D4"	0.0774	"t7_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E3"	0.0561	"t7_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E4"	0.057	"t7_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F3"	0.0582	"t7_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F4"	0.0576	"t7_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G3"	0.0729	"t7_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G4"	0.0739	"t7_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"H3"	0.0687	"t7_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"H4"	0.071	"t7_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A5"	0.0828	"t7_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A6"	0.0827	"t7_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B5"	0.0803	"t7_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B6"	0.0796	"t7_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C5"	0.0444	"t7_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
