"raw_name"	"Dataset"
"L227_2013_6m_QC_R1_frag_0"	""
"L227_2013_8m_QC_R1_frag_1"	""
"L227_2014_6m_QC_R1_frag_2"	""
"L227_2014_8m_QC_R1_frag_3"	""
"L227_S_6D_QC_R1_frag_4"	""
"L304_S_6D_QC_R1_frag_5"	""
"L442_2011_16_5m_QC_R1_frag_6"	""
"L442_2014_15m_QC_R1_frag_7"	""
