raw_name	HMM.Family	HMM_length	notes
rpoB_13	rpoB	2842	
cyc2_3GSB_0	cyc2_3GSB	411	
cyc2_7GSB_1	cyc2_7GSB	416	
cyc2_reference_genomes_2	cyc2_ref	428	
cyc2_reference_genomes_plus4GSB_3	cyc2_ref_plusGSB	428	
dsrA_4	dsrA	369	
soxB_14	soxB	570	
BChl_A_8	fmoA	369	
TIGR01115_9	pufM	570	
TIGR01281_10	bchL	369	
TIGR02019_11	bchJ	570	
nifH_new_7	nifH	295	
pmoA_12	pmoA	247	
mcrA_5	mcrA	555	
mmoX_6	mmoX	527	
