"Plate_number"	"Well"	"Absorbance"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_conc"
1	"A1"	0.0402	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"A2"	0.0405	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B1"	0.063	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"B2"	0.0625	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"C1"	0.1016	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"C2"	0.1046	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"D1"	0.1382	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"D2"	0.1387	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"E1"	0.1739	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"E2"	0.1737	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"F1"	0.2291	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"F2"	0.2452	""	NA	""	"Fe2"	"Fe2"	NA	NA
1	"G1"	0.0264	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
1	"G2"	0.0278	"Blank"	1	"Blank"	"Fe2"	"Fe2"	1	NA
1	"H1"	0.0256	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
1	"H2"	0.0274	"Blank"	1	"Blank"	"FeTot"	"FeTot"	1	NA
1	"A3"	0.0787	"t5_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A4"	0.0796	"t5_1"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B3"	0.0924	"t5_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B4"	0.0952	"t5_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C3"	0.0578	"t5_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C4"	0.0584	"t5_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D3"	0.0696	"t5_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D4"	0.0688	"t5_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E3"	0.0572	"t5_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E4"	0.0592	"t5_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F3"	0.059	"t5_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F4"	0.0594	"t5_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G3"	0.0878	"t5_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G4"	0.0908	"t5_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"H3"	0.0827	"t5_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"H4"	0.0824	"t5_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A5"	0.0676	"t5_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A6"	0.0668	"t5_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B5"	0.0616	"t5_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"B6"	0.0591	"t5_10"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C5"	0.0495	"t5_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"C6"	0.0489	"t5_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D5"	0.0546	"t5_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"D6"	0.0529	"t5_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E5"	0.0369	"t5_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"E6"	0.0363	"t5_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F5"	0.0358	"t5_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"F6"	0.0358	"t5_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G5"	0.0552	"t5_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"G6"	0.054	"t5_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"H5"	0.0594	"t5_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"H6"	0.0594	"t5_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	NA
1	"A7"	0.0439	"Std 1"	1	"Standard"	"FeTot"	"FeTot"	1	20
1	"A8"	0.041	"Std 1"	1	"Standard"	"FeTot"	"FeTot"	1	20
1	"B7"	0.064	"Std 2"	1	"Standard"	"FeTot"	"FeTot"	1	50
1	"B8"	0.0648	"Std 2"	1	"Standard"	"FeTot"	"FeTot"	1	50
1	"C7"	0.1061	"Std 3"	1	"Standard"	"FeTot"	"FeTot"	1	100
1	"C8"	0.1022	"Std 3"	1	"Standard"	"FeTot"	"FeTot"	1	100
1	"D7"	0.1411	"Std 4"	1	"Standard"	"FeTot"	"FeTot"	1	150
1	"D8"	0.141	"Std 4"	1	"Standard"	"FeTot"	"FeTot"	1	150
1	"E7"	0.1784	"Std 5"	1	"Standard"	"FeTot"	"FeTot"	1	200
1	"E8"	0.1768	"Std 5"	1	"Standard"	"FeTot"	"FeTot"	1	200
1	"F7"	0.2523	"Std 6"	1	"Standard"	"FeTot"	"FeTot"	1	300
1	"F8"	0.2495	"Std 6"	1	"Standard"	"FeTot"	"FeTot"	1	300
1	"G7"	0.4097	"Std 7"	1	"Standard"	"FeTot"	"FeTot"	1	500
1	"G8"	0.4072	"Std 7"	1	"Standard"	"FeTot"	"FeTot"	1	500
1	"H7"	0.5449	"Std 8"	1	"Standard"	"FeTot"	"FeTot"	1	700
1	"H8"	0.5488	"Std 8"	1	"Standard"	"FeTot"	"FeTot"	1	700
