"Plate_number"	"Sample_name"	"Replicate"	"Sample_type"	"Treatment"	"Blanking_group"	"Dilution_factor"	"Standard_group"	"Ave_abs_blanked"	"StdDev_abs_blanked"	"Ave_concentration"	"StdDev_concentration"	"Concentration_units"
2	"t6_11"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0187	0.00120208152801713	27.1424983619433	1.74478587727953	"uM"
2	"t6_11"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.06405	0.000777817459305195	92.9666855659072	1.12897909706321	"uM"
2	"t6_12"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.02315	0.000707106781186548	33.6015420897854	1.02634463369384	"uM"
2	"t6_12"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07705	0.000212132034355961	111.83580207421	0.307903390108147	"uM"
2	"t6_13"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.00835	0.0014142135623731	12.119778680333	2.05268926738768	"uM"
2	"t6_13"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0681	0.0014142135623731	98.8451410934939	2.05268926738768	"uM"
2	"t6_14"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.01015	0.00212132034355964	14.7324255814826	3.07903390108152	"uM"
2	"t6_14"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.06805	7.07106781186568e-05	98.7725675684619	0.102634463369387	"uM"
2	"t6_15"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.02525	0.000707106781186548	36.6496301411266	1.02634463369384	"uM"
2	"t6_15"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0755	0.000282842712474627	109.58602279822	0.410537853477548	"uM"
2	"t6_16"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0279	0.000919238815542514	40.4960269678191	1.334248023802	"uM"
2	"t6_16"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07865	7.0710678118647e-05	114.158154875232	0.102634463369373	"uM"
2	"t6_2"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0593	0.000212132034355961	86.0722006878735	0.307903390108147	"uM"
2	"t6_2"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0818	0.000282842712474627	118.730286952244	0.410537853477548	"uM"
2	"t6_3"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.03815	0.00113137084989848	55.3735995993655	1.64215141391015	"uM"
2	"t6_3"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.06805	0.000919238815542509	98.7725675684619	1.33424802380199	"uM"
2	"t6_4"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.03985	0.00127279220613578	57.8410994504513	1.84742034064891	"uM"
2	"t6_4"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07825	0.000777817459305205	113.577566674976	1.12897909706323	"uM"
2	"t6_5"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0293	0.00148492424049175	42.5280856687132	2.15532373075706	"uM"
2	"t6_5"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.071	0.000141421356237314	103.054405545346	0.205268926738774	"uM"
2	"t6_6"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0314	0.000353553390593274	45.5761737200544	0.513172316846921	"uM"
2	"t6_6"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07325	0.000353553390593274	106.320214171783	0.513172316846921	"uM"
2	"t6_7"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0608	0.00360624458405138	88.2494064388315	5.23435763183858	"uM"
2	"t6_7"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.08435	0.000353553390593274	122.431536728872	0.513172316846921	"uM"
2	"t6_8"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.05	0.000636396103067891	72.5735250319338	0.923710170324455	"uM"
2	"t6_8"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.0743	0.0015556349186104	107.844258197454	2.25795819412644	"uM"
2	"t6_9"	1	"Unknown"	"Fe2"	"Fe2"	1.09	1	0.0469	0.00190918830920368	68.0739664799539	2.77113051097338	"uM"
2	"t6_9"	1	"Unknown"	"FeTot"	"FeTot"	1.09	1	0.07725	0.00106066017177982	112.126096174338	1.53951695054076	"uM"
